Wind Power Multiplier (MW),Installed Solar (MW),Installed Battery (MW),Renewable Energy (%),Cost ($/MWh)
4.45,85000,0,0.979822139,52.00401555
4.45,85000,1,0.979822139,52.00401825
4.45,85000,0,0.979822139,52.00401555
4.45,85000,1,0.979822139,52.00401825
4.45025,85000,0,0.979823288,52.00422808
4.45025,85000,1,0.979823288,52.00423077
4.45025,85000,0,0.979823288,52.00422808
4.45025,85000,1,0.979823288,52.00423077
4.4505,85000,0,0.979824436,52.0044406
4.4505,85000,1,0.979824436,52.0044433
4.4505,85000,0,0.979824436,52.0044406
4.4505,85000,1,0.979824436,52.0044433
4.45075,85000,0,0.979825584,52.00465313
4.45075,85000,1,0.979825584,52.00465583
4.45075,85000,0,0.979825584,52.00465313
4.45075,85000,1,0.979825584,52.00465583
4.451,85000,0,0.979826733,52.00486566
4.451,85000,1,0.979826733,52.00486835
4.451,85000,0,0.979826733,52.00486566
4.451,85000,1,0.979826733,52.00486835
4.45125,85000,0,0.979827881,52.00507818
4.45125,85000,1,0.979827881,52.00508088
4.45125,85000,0,0.979827881,52.00507818
4.45125,85000,1,0.979827881,52.00508088
4.4515,85000,0,0.979829029,52.00529071
4.4515,85000,1,0.979829029,52.0052934
4.4515,85000,0,0.979829029,52.00529071
4.4515,85000,1,0.979829029,52.0052934
4.45175,85000,0,0.979830178,52.00550323
4.45175,85000,1,0.979830178,52.00550593
4.45175,85000,0,0.979830178,52.00550323
4.45175,85000,1,0.979830178,52.00550593
4.452,85000,0,0.979831326,52.00571576
4.452,85000,1,0.979831326,52.00571845
4.452,85000,0,0.979831326,52.00571576
4.452,85000,1,0.979831326,52.00571845
4.45225,85000,0,0.979832475,52.00592829
4.45225,85000,1,0.979832475,52.00593098
4.45225,85000,0,0.979832475,52.00592829
4.45225,85000,1,0.979832475,52.00593098
4.4525,85000,0,0.979833623,52.00614081
4.4525,85000,1,0.979833623,52.00614351
4.4525,85000,0,0.979833623,52.00614081
4.4525,85000,1,0.979833623,52.00614351
4.45275,85000,0,0.979834771,52.00635334
4.45275,85000,1,0.979834771,52.00635603
4.45275,85000,0,0.979834771,52.00635334
4.45275,85000,1,0.979834771,52.00635603
4.453,85000,0,0.97983592,52.00656586
4.453,85000,1,0.97983592,52.00656856
4.453,85000,0,0.97983592,52.00656586
4.453,85000,1,0.97983592,52.00656856
4.45325,85000,0,0.979837068,52.00677839
4.45325,85000,1,0.979837068,52.00678108
4.45325,85000,0,0.979837068,52.00677839
4.45325,85000,1,0.979837068,52.00678108
4.4535,85000,0,0.979838216,52.00699091
4.4535,85000,1,0.979838216,52.00699361
4.4535,85000,0,0.979838216,52.00699091
4.4535,85000,1,0.979838216,52.00699361
4.45375,85000,0,0.979839365,52.00720344
4.45375,85000,1,0.979839365,52.00720614
4.45375,85000,0,0.979839365,52.00720344
4.45375,85000,1,0.979839365,52.00720614
4.454,85000,0,0.979840513,52.00741597
4.454,85000,1,0.979840513,52.00741866
4.454,85000,0,0.979840513,52.00741597
4.454,85000,1,0.979840513,52.00741866
4.45425,85000,0,0.979841662,52.00762849
4.45425,85000,1,0.979841662,52.00763119
4.45425,85000,0,0.979841662,52.00762849
4.45425,85000,1,0.979841662,52.00763119
4.4545,85000,0,0.97984281,52.00784102
4.4545,85000,1,0.97984281,52.00784371
4.4545,85000,0,0.97984281,52.00784102
4.4545,85000,1,0.97984281,52.00784371
4.45475,85000,0,0.979843958,52.00805354
4.45475,85000,1,0.979843958,52.00805624
4.45475,85000,0,0.979843958,52.00805354
4.45475,85000,1,0.979843958,52.00805624
4.455,85000,0,0.979845107,52.00826607
4.455,85000,1,0.979845107,52.00826877
4.455,85000,0,0.979845107,52.00826607
4.455,85000,1,0.979845107,52.00826877
4.45525,85000,0,0.979846255,52.0084786
4.45525,85000,1,0.979846255,52.00848129
4.45525,85000,0,0.979846255,52.0084786
4.45525,85000,1,0.979846255,52.00848129
4.4555,85000,0,0.979847404,52.00869113
4.4555,85000,1,0.979847404,52.00869383
4.4555,85000,0,0.979847404,52.00869113
4.4555,85000,1,0.979847404,52.00869383
4.45575,85000,0,0.979848552,52.00890372
4.45575,85000,1,0.979848552,52.00890642
4.45575,85000,0,0.979848552,52.00890372
4.45575,85000,1,0.979848552,52.00890642
4.456,85000,0,0.9798497,52.00911631
4.456,85000,1,0.9798497,52.00911901
4.456,85000,0,0.9798497,52.00911631
4.456,85000,1,0.9798497,52.00911901
4.45625,85000,0,0.979850849,52.0093289
4.45625,85000,1,0.979850849,52.00933159
4.45625,85000,0,0.979850849,52.0093289
4.45625,85000,1,0.979850849,52.00933159
4.4565,85000,0,0.979851997,52.00954149
4.4565,85000,1,0.979851997,52.00954418
4.4565,85000,0,0.979851997,52.00954149
4.4565,85000,1,0.979851997,52.00954418
4.45675,85000,0,0.979853145,52.00975407
4.45675,85000,1,0.979853145,52.00975677
4.45675,85000,0,0.979853145,52.00975407
4.45675,85000,1,0.979853145,52.00975677
4.457,85000,0,0.979854294,52.00996666
4.457,85000,1,0.979854294,52.00996936
4.457,85000,0,0.979854294,52.00996666
4.457,85000,1,0.979854294,52.00996936
4.45725,85000,0,0.979855442,52.01017925
4.45725,85000,1,0.979855442,52.01018194
4.45725,85000,0,0.979855442,52.01017925
4.45725,85000,1,0.979855442,52.01018194
4.4575,85000,0,0.979856591,52.01039184
4.4575,85000,1,0.979856591,52.01039453
4.4575,85000,0,0.979856591,52.01039184
4.4575,85000,1,0.979856591,52.01039453
4.45775,85000,0,0.979857739,52.01060442
4.45775,85000,1,0.979857739,52.01060712
4.45775,85000,0,0.979857739,52.01060442
4.45775,85000,1,0.979857739,52.01060712
4.458,85000,0,0.979858887,52.01081701
4.458,85000,1,0.979858887,52.01081971
4.458,85000,0,0.979858887,52.01081701
4.458,85000,1,0.979858887,52.01081971
4.45825,85000,0,0.979860036,52.0110296
4.45825,85000,1,0.979860036,52.0110323
4.45825,85000,0,0.979860036,52.0110296
4.45825,85000,1,0.979860036,52.0110323
4.4585,85000,0,0.979861184,52.01124219
4.4585,85000,1,0.979861184,52.01124488
4.4585,85000,0,0.979861184,52.01124219
4.4585,85000,1,0.979861184,52.01124488
4.45875,85000,0,0.979862332,52.01145478
4.45875,85000,1,0.979862332,52.01145747
4.45875,85000,0,0.979862332,52.01145478
4.45875,85000,1,0.979862332,52.01145747
4.459,85000,0,0.979863481,52.01166736
4.459,85000,1,0.979863481,52.01167006
4.459,85000,0,0.979863481,52.01166736
4.459,85000,1,0.979863481,52.01167006
4.45925,85000,0,0.979864629,52.01187995
4.45925,85000,1,0.979864629,52.01188265
4.45925,85000,0,0.979864629,52.01187995
4.45925,85000,1,0.979864629,52.01188265
4.4595,85000,0,0.979865778,52.01209254
4.4595,85000,1,0.979865778,52.01209523
4.4595,85000,0,0.979865778,52.01209254
4.4595,85000,1,0.979865778,52.01209523
4.45975,85000,0,0.979866926,52.01230513
4.45975,85000,1,0.979866926,52.01230782
4.45975,85000,0,0.979866926,52.01230513
4.45975,85000,1,0.979866926,52.01230782
4.46,85000,0,0.979868074,52.01251771
4.46,85000,1,0.979868074,52.01252041
4.46,85000,0,0.979868074,52.01251771
4.46,85000,1,0.979868074,52.01252041
4.46025,85000,0,0.979869223,52.0127303
4.46025,85000,1,0.979869223,52.012733
4.46025,85000,0,0.979869223,52.0127303
4.46025,85000,1,0.979869223,52.012733
4.4605,85000,0,0.979870371,52.01294289
4.4605,85000,1,0.979870371,52.01294558
4.4605,85000,0,0.979870371,52.01294289
4.4605,85000,1,0.979870371,52.01294558
4.46075,85000,0,0.979871519,52.01315548
4.46075,85000,1,0.979871519,52.01315817
4.46075,85000,0,0.979871519,52.01315548
4.46075,85000,1,0.979871519,52.01315817
4.461,85000,0,0.979872668,52.01336806
4.461,85000,1,0.979872668,52.01337076
4.461,85000,0,0.979872668,52.01336806
4.461,85000,1,0.979872668,52.01337076
4.46125,85000,0,0.979873816,52.01358065
4.46125,85000,1,0.979873816,52.01358335
4.46125,85000,0,0.979873816,52.01358065
4.46125,85000,1,0.979873816,52.01358335
4.4615,85000,0,0.979874965,52.01379324
4.4615,85000,1,0.979874965,52.01379594
4.4615,85000,0,0.979874965,52.01379324
4.4615,85000,1,0.979874965,52.01379594
4.46175,85000,0,0.979876113,52.01400583
4.46175,85000,1,0.979876113,52.01400852
4.46175,85000,0,0.979876113,52.01400583
4.46175,85000,1,0.979876113,52.01400852
4.462,85000,0,0.979877261,52.01421842
4.462,85000,1,0.979877261,52.01422111
4.462,85000,0,0.979877261,52.01421842
4.462,85000,1,0.979877261,52.01422111
4.46225,85000,0,0.97987841,52.014431
4.46225,85000,1,0.97987841,52.0144337
4.46225,85000,0,0.97987841,52.014431
4.46225,85000,1,0.97987841,52.0144337
4.4625,85000,0,0.979879558,52.01464364
4.4625,85000,1,0.979879558,52.01464633
4.4625,85000,0,0.979879558,52.01464364
4.4625,85000,1,0.979879558,52.01464633
4.46275,85000,0,0.979880706,52.01485629
4.46275,85000,1,0.979880706,52.01485899
4.46275,85000,0,0.979880706,52.01485629
4.46275,85000,1,0.979880706,52.01485899
4.463,85000,0,0.979881855,52.01506894
4.463,85000,1,0.979881855,52.01507164
4.463,85000,0,0.979881855,52.01506894
4.463,85000,1,0.979881855,52.01507164
4.46325,85000,0,0.979883003,52.0152816
4.46325,85000,1,0.979883003,52.01528429
4.46325,85000,0,0.979883003,52.0152816
4.46325,85000,1,0.979883003,52.01528429
4.4635,85000,0,0.979884152,52.01549425
4.4635,85000,1,0.979884152,52.01549695
4.4635,85000,0,0.979884152,52.01549425
4.4635,85000,1,0.979884152,52.01549695
4.46375,85000,0,0.9798853,52.0157069
4.46375,85000,1,0.9798853,52.0157096
4.46375,85000,0,0.9798853,52.0157069
4.46375,85000,1,0.9798853,52.0157096
4.464,85000,0,0.979886448,52.01591956
4.464,85000,1,0.979886448,52.01592225
4.464,85000,0,0.979886448,52.01591956
4.464,85000,1,0.979886448,52.01592225
4.46425,85000,0,0.979887597,52.01613221
4.46425,85000,1,0.979887597,52.01613491
4.46425,85000,0,0.979887597,52.01613221
4.46425,85000,1,0.979887597,52.01613491
4.4645,85000,0,0.979888745,52.01634485
4.4645,85000,1,0.979888745,52.01634755
4.4645,85000,0,0.979888745,52.01634485
4.4645,85000,1,0.979888745,52.01634755
4.46475,85000,0,0.979889893,52.01655749
4.46475,85000,1,0.979889893,52.01656018
4.46475,85000,0,0.979889893,52.01655749
4.46475,85000,1,0.979889893,52.01656018
4.465,85000,0,0.979891041,52.01677012
4.465,85000,1,0.979891041,52.01677282
4.465,85000,0,0.979891041,52.01677012
4.465,85000,1,0.979891041,52.01677282
4.46525,85000,0,0.979892189,52.01698276
4.46525,85000,1,0.979892189,52.01698545
4.46525,85000,0,0.979892189,52.01698276
4.46525,85000,1,0.979892189,52.01698545
4.4655,85000,0,0.979893337,52.0171954
4.4655,85000,1,0.979893337,52.01719809
4.4655,85000,0,0.979893337,52.0171954
4.4655,85000,1,0.979893337,52.01719809
4.46575,85000,0,0.979894485,52.01740803
4.46575,85000,1,0.979894485,52.01741073
4.46575,85000,0,0.979894485,52.01740803
4.46575,85000,1,0.979894485,52.01741073
4.466,85000,0,0.979895633,52.01762067
4.466,85000,1,0.979895633,52.01762336
4.466,85000,0,0.979895633,52.01762067
4.466,85000,1,0.979895633,52.01762336
4.46625,85000,0,0.979896781,52.01783331
4.46625,85000,1,0.979896781,52.017836
4.46625,85000,0,0.979896781,52.01783331
4.46625,85000,1,0.979896781,52.017836
4.4665,85000,0,0.979897929,52.01804594
4.4665,85000,1,0.979897929,52.01804864
4.4665,85000,0,0.979897929,52.01804594
4.4665,85000,1,0.979897929,52.01804864
4.46675,85000,0,0.979899077,52.01825858
4.46675,85000,1,0.979899077,52.01826127
4.46675,85000,0,0.979899077,52.01825858
4.46675,85000,1,0.979899077,52.01826127
4.467,85000,0,0.979900225,52.01847121
4.467,85000,1,0.979900225,52.01847391
4.467,85000,0,0.979900225,52.01847121
4.467,85000,1,0.979900225,52.01847391
4.46725,85000,0,0.979901373,52.01868385
4.46725,85000,1,0.979901373,52.01868655
4.46725,85000,0,0.979901373,52.01868385
4.46725,85000,1,0.979901373,52.01868655
4.4675,85000,0,0.979902521,52.01889649
4.4675,85000,1,0.979902521,52.01889918
4.4675,85000,0,0.979902521,52.01889649
4.4675,85000,1,0.979902521,52.01889918
4.46775,85000,0,0.979903669,52.01910912
4.46775,85000,1,0.979903669,52.01911182
4.46775,85000,0,0.979903669,52.01910912
4.46775,85000,1,0.979903669,52.01911182
4.468,85000,0,0.979904817,52.01932176
4.468,85000,1,0.979904817,52.01932446
4.468,85000,0,0.979904817,52.01932176
4.468,85000,1,0.979904817,52.01932446
4.46825,85000,0,0.979905965,52.0195344
4.46825,85000,1,0.979905965,52.01953709
4.46825,85000,0,0.979905965,52.0195344
4.46825,85000,1,0.979905965,52.01953709
4.4685,85000,0,0.979907113,52.01974703
4.4685,85000,1,0.979907113,52.01974973
4.4685,85000,0,0.979907113,52.01974703
4.4685,85000,1,0.979907113,52.01974973
4.46875,85000,0,0.979908261,52.01995967
4.46875,85000,1,0.979908261,52.01996236
4.46875,85000,0,0.979908261,52.01995967
4.46875,85000,1,0.979908261,52.01996236
4.469,85000,0,0.979909409,52.02017231
4.469,85000,1,0.979909409,52.020175
4.469,85000,0,0.979909409,52.02017231
4.469,85000,1,0.979909409,52.020175
4.46925,85000,0,0.979910557,52.02038494
4.46925,85000,1,0.979910557,52.02038764
4.46925,85000,0,0.979910557,52.02038494
4.46925,85000,1,0.979910557,52.02038764
4.4695,85000,0,0.979911706,52.02059758
4.4695,85000,1,0.979911706,52.02060027
4.4695,85000,0,0.979911706,52.02059758
4.4695,85000,1,0.979911706,52.02060027
4.46975,85000,0,0.979912854,52.02081022
4.46975,85000,1,0.979912854,52.02081291
4.46975,85000,0,0.979912854,52.02081022
4.46975,85000,1,0.979912854,52.02081291
4.47,85000,0,0.979914002,52.02102285
4.47,85000,1,0.979914002,52.02102555
4.47,85000,0,0.979914002,52.02102285
4.47,85000,1,0.979914002,52.02102555
4.47025,85000,0,0.97991515,52.02123549
4.47025,85000,1,0.97991515,52.02123818
4.47025,85000,0,0.97991515,52.02123549
4.47025,85000,1,0.97991515,52.02123818
4.4705,85000,0,0.979916298,52.02144812
4.4705,85000,1,0.979916298,52.02145082
4.4705,85000,0,0.979916298,52.02144812
4.4705,85000,1,0.979916298,52.02145082
4.47075,85000,0,0.979917446,52.02166076
4.47075,85000,1,0.979917446,52.02166346
4.47075,85000,0,0.979917446,52.02166076
4.47075,85000,1,0.979917446,52.02166346
4.471,85000,0,0.979918594,52.0218734
4.471,85000,1,0.979918594,52.02187609
4.471,85000,0,0.979918594,52.0218734
4.471,85000,1,0.979918594,52.02187609
4.47125,85000,0,0.979919742,52.02208607
4.47125,85000,1,0.979919742,52.02208876
4.47125,85000,0,0.979919742,52.02208607
4.47125,85000,1,0.979919742,52.02208876
4.4715,85000,0,0.97992089,52.02229878
4.4715,85000,1,0.97992089,52.02230148
4.4715,85000,0,0.97992089,52.02229878
4.4715,85000,1,0.97992089,52.02230148
4.47175,85000,0,0.979922038,52.02251154
4.47175,85000,1,0.979922038,52.02251423
4.47175,85000,0,0.979922038,52.02251154
4.47175,85000,1,0.979922038,52.02251423
4.472,85000,0,0.979923186,52.02272432
4.472,85000,1,0.979923186,52.02272702
4.472,85000,0,0.979923186,52.02272432
4.472,85000,1,0.979923186,52.02272702
4.47225,85000,0,0.979924334,52.02293714
4.47225,85000,1,0.979924334,52.02293983
4.47225,85000,0,0.979924334,52.02293714
4.47225,85000,1,0.979924334,52.02293983
4.4725,85000,0,0.979925482,52.02314995
4.4725,85000,1,0.979925482,52.02315264
4.4725,85000,0,0.979925482,52.02314995
4.4725,85000,1,0.979925482,52.02315264
4.47275,85000,0,0.97992663,52.02336276
4.47275,85000,1,0.97992663,52.02336545
4.47275,85000,0,0.97992663,52.02336276
4.47275,85000,1,0.97992663,52.02336545
4.473,85000,0,0.979927778,52.02357557
4.473,85000,1,0.979927778,52.02357827
4.473,85000,0,0.979927778,52.02357557
4.473,85000,1,0.979927778,52.02357827
4.47325,85000,0,0.979928926,52.02378838
4.47325,85000,1,0.979928926,52.02379108
4.47325,85000,0,0.979928926,52.02378838
4.47325,85000,1,0.979928926,52.02379108
4.4735,85000,0,0.979930074,52.02400119
4.4735,85000,1,0.979930074,52.02400389
4.4735,85000,0,0.979930074,52.02400119
4.4735,85000,1,0.979930074,52.02400389
4.47375,85000,0,0.979931222,52.024214
4.47375,85000,1,0.979931222,52.0242167
4.47375,85000,0,0.979931222,52.024214
4.47375,85000,1,0.979931222,52.0242167
4.474,85000,0,0.97993237,52.02442682
4.474,85000,1,0.97993237,52.02442951
4.474,85000,0,0.97993237,52.02442682
4.474,85000,1,0.97993237,52.02442951
4.47425,85000,0,0.979933518,52.02463963
4.47425,85000,1,0.979933518,52.02464232
4.47425,85000,0,0.979933518,52.02463963
4.47425,85000,1,0.979933518,52.02464232
4.4745,85000,0,0.979934666,52.02485244
4.4745,85000,1,0.979934666,52.02485513
4.4745,85000,0,0.979934666,52.02485244
4.4745,85000,1,0.979934666,52.02485513
4.47475,85000,0,0.979935814,52.02506525
4.47475,85000,1,0.979935814,52.02506794
4.47475,85000,0,0.979935814,52.02506525
4.47475,85000,1,0.979935814,52.02506794
4.475,85000,0,0.979936962,52.02527806
4.475,85000,1,0.979936962,52.02528076
4.475,85000,0,0.979936962,52.02527806
4.475,85000,1,0.979936962,52.02528076
4.47525,85000,0,0.97993811,52.02549087
4.47525,85000,1,0.97993811,52.02549357
4.47525,85000,0,0.97993811,52.02549087
4.47525,85000,1,0.97993811,52.02549357
4.4755,85000,0,0.979939258,52.02570368
4.4755,85000,1,0.979939258,52.02570638
4.4755,85000,0,0.979939258,52.02570368
4.4755,85000,1,0.979939258,52.02570638
4.47575,85000,0,0.979940406,52.02591649
4.47575,85000,1,0.979940406,52.02591919
4.47575,85000,0,0.979940406,52.02591649
4.47575,85000,1,0.979940406,52.02591919
4.476,85000,0,0.979941554,52.02612931
4.476,85000,1,0.979941554,52.026132
4.476,85000,0,0.979941554,52.02612931
4.476,85000,1,0.979941554,52.026132
4.47625,85000,0,0.979942702,52.02634212
4.47625,85000,1,0.979942702,52.02634481
4.47625,85000,0,0.979942702,52.02634212
4.47625,85000,1,0.979942702,52.02634481
4.4765,85000,0,0.97994385,52.02655493
4.4765,85000,1,0.97994385,52.02655762
4.4765,85000,0,0.97994385,52.02655493
4.4765,85000,1,0.97994385,52.02655762
4.47675,85000,0,0.979944999,52.02676774
4.47675,85000,1,0.979944999,52.02677043
4.47675,85000,0,0.979944999,52.02676774
4.47675,85000,1,0.979944999,52.02677043
4.477,85000,0,0.979946147,52.02698055
4.477,85000,1,0.979946147,52.02698325
4.477,85000,0,0.979946147,52.02698055
4.477,85000,1,0.979946147,52.02698325
4.47725,85000,0,0.979947295,52.02719336
4.47725,85000,1,0.979947295,52.02719606
4.47725,85000,0,0.979947295,52.02719336
4.47725,85000,1,0.979947295,52.02719606
4.4775,85000,0,0.979948443,52.02740617
4.4775,85000,1,0.979948443,52.02740887
4.4775,85000,0,0.979948443,52.02740617
4.4775,85000,1,0.979948443,52.02740887
4.47775,85000,0,0.979949591,52.02761898
4.47775,85000,1,0.979949591,52.02762168
4.47775,85000,0,0.979949591,52.02761898
4.47775,85000,1,0.979949591,52.02762168
4.478,85000,0,0.979950739,52.0278318
4.478,85000,1,0.979950739,52.02783449
4.478,85000,0,0.979950739,52.0278318
4.478,85000,1,0.979950739,52.02783449
4.47825,85000,0,0.979951887,52.02804461
4.47825,85000,1,0.979951887,52.0280473
4.47825,85000,0,0.979951887,52.02804461
4.47825,85000,1,0.979951887,52.0280473
4.4785,85000,0,0.979953035,52.02825742
4.4785,85000,1,0.979953035,52.02826011
4.4785,85000,0,0.979953035,52.02825742
4.4785,85000,1,0.979953035,52.02826011
4.47875,85000,0,0.979954183,52.02847023
4.47875,85000,1,0.979954183,52.02847293
4.47875,85000,0,0.979954183,52.02847023
4.47875,85000,1,0.979954183,52.02847293
4.479,85000,0,0.979955331,52.02868304
4.479,85000,1,0.979955331,52.02868574
4.479,85000,0,0.979955331,52.02868304
4.479,85000,1,0.979955331,52.02868574
4.47925,85000,0,0.979956479,52.02889585
4.47925,85000,1,0.979956479,52.02889855
4.47925,85000,0,0.979956479,52.02889585
4.47925,85000,1,0.979956479,52.02889855
4.4795,85000,0,0.979957627,52.02910866
4.4795,85000,1,0.979957627,52.02911136
4.4795,85000,0,0.979957627,52.02910866
4.4795,85000,1,0.979957627,52.02911136
4.47975,85000,0,0.979958775,52.02932147
4.47975,85000,1,0.979958775,52.02932417
4.47975,85000,0,0.979958775,52.02932147
4.47975,85000,1,0.979958775,52.02932417
4.48,85000,0,0.979959923,52.02953429
4.48,85000,1,0.979959923,52.02953698
4.48,85000,0,0.979959923,52.02953429
4.48,85000,1,0.979959923,52.02953698
4.48025,85000,0,0.979961071,52.0297471
4.48025,85000,1,0.979961071,52.02974979
4.48025,85000,0,0.979961071,52.0297471
4.48025,85000,1,0.979961071,52.02974979
4.4805,85000,0,0.979962219,52.02995991
4.4805,85000,1,0.979962219,52.0299626
4.4805,85000,0,0.979962219,52.02995991
4.4805,85000,1,0.979962219,52.0299626
4.48075,85000,0,0.979963367,52.03017272
4.48075,85000,1,0.979963367,52.03017542
4.48075,85000,0,0.979963367,52.03017272
4.48075,85000,1,0.979963367,52.03017542
4.481,85000,0,0.979964515,52.03038553
4.481,85000,1,0.979964515,52.03038823
4.481,85000,0,0.979964515,52.03038553
4.481,85000,1,0.979964515,52.03038823
4.48125,85000,0,0.979965663,52.03059834
4.48125,85000,1,0.979965663,52.03060104
4.48125,85000,0,0.979965663,52.03059834
4.48125,85000,1,0.979965663,52.03060104
4.4815,85000,0,0.979966811,52.03081119
4.4815,85000,1,0.979966811,52.03081389
4.4815,85000,0,0.979966811,52.03081119
4.4815,85000,1,0.979966811,52.03081389
4.48175,85000,0,0.979967959,52.03102406
4.48175,85000,1,0.979967959,52.03102676
4.48175,85000,0,0.979967959,52.03102406
4.48175,85000,1,0.979967959,52.03102676
4.482,85000,0,0.979969107,52.03123693
4.482,85000,1,0.979969107,52.03123963
4.482,85000,0,0.979969107,52.03123693
4.482,85000,1,0.979969107,52.03123963
4.48225,85000,0,0.979970255,52.0314498
4.48225,85000,1,0.979970255,52.0314525
4.48225,85000,0,0.979970255,52.0314498
4.48225,85000,1,0.979970255,52.0314525
4.4825,85000,0,0.979971403,52.03166267
4.4825,85000,1,0.979971403,52.03166537
4.4825,85000,0,0.979971403,52.03166267
4.4825,85000,1,0.979971403,52.03166537
4.48275,85000,0,0.979972551,52.03187554
4.48275,85000,1,0.979972551,52.03187824
4.48275,85000,0,0.979972551,52.03187554
4.48275,85000,1,0.979972551,52.03187824
4.483,85000,0,0.979973699,52.03208841
4.483,85000,1,0.979973699,52.03209111
4.483,85000,0,0.979973699,52.03208841
4.483,85000,1,0.979973699,52.03209111
4.48325,85000,0,0.979974847,52.03230128
4.48325,85000,1,0.979974847,52.03230398
4.48325,85000,0,0.979974847,52.03230128
4.48325,85000,1,0.979974847,52.03230398
4.4835,85000,0,0.979975995,52.03251415
4.4835,85000,1,0.979975995,52.03251685
4.4835,85000,0,0.979975995,52.03251415
4.4835,85000,1,0.979975995,52.03251685
4.48375,85000,0,0.979977144,52.03272702
4.48375,85000,1,0.979977144,52.03272972
4.48375,85000,0,0.979977144,52.03272702
4.48375,85000,1,0.979977144,52.03272972
4.484,85000,0,0.979978292,52.03293989
4.484,85000,1,0.979978292,52.03294259
4.484,85000,0,0.979978292,52.03293989
4.484,85000,1,0.979978292,52.03294259
4.48425,85000,0,0.97997944,52.03315276
4.48425,85000,1,0.97997944,52.03315546
4.48425,85000,0,0.97997944,52.03315276
4.48425,85000,1,0.97997944,52.03315546
4.4845,85000,0,0.979980588,52.03336563
4.4845,85000,1,0.979980588,52.03336833
4.4845,85000,0,0.979980588,52.03336563
